id_pedido,data_pedido,cliente,segmento_cliente,pais_destino,cidade_destino,regiao_destino,armazem_origem,fornecedor,transportadora,modo_transporte,codigo_produto,produto,categoria_produto,unidades_pedidas,stock_disponivel,valor_pedido_eur,custo_transporte_eur,margem_prevista_pct,distancia_km,prioridade,lead_time_prometido_dias,lead_time_previsto_ia_dias,taxa_atraso_fornecedor,taxa_atraso_transportadora,score_risco_ia,atraso_previsto_ia,atraso_real,dias_atraso_real,data_prometida_entrega,data_real_entrega,stock_insuficiente,dados_incompletos,problema_principal,acao_recomendada
SCM20260065,2026-02-12,Worten Business,Retalho Especializado,Portugal,Braga,Norte,Armazém Madrid,Lisboa Components,MRW,Rodoviário,P001,Tablet robusto para logística,Eletrónica,225,392,94500.00,87.52,0.182,731,Média,3,2,0.12,0.25,0.49,Nao,Sim,3,2026-02-15,2026-02-18,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260066,2026-02-04,Alcampo Retail,Retalho Alimentar,Espanha,Sevilha,Andaluzia,Armazém Barcelona,Atlântico Distribuição,MRW,Rodoviário,P010,Dispositivo POS móvel,Eletrónica,199,336,51740.00,92.79,0.178,1341,Alta,4,7,0.10,0.24,0.72,Sim,Sim,2,2026-02-08,2026-02-10,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260067,2026-05-15,El Corte Inglés Madrid,Retalho Especializado,Espanha,Madrid,Madrid,Armazém Lisboa,Catalunya Freight,GLS Iberia,Rodoviário,P005,Kit primeiros socorros,Saúde e Bem-Estar,203,350,7105.00,51.61,0.300,152,Baixa,6,6,0.23,0.11,0.47,Nao,Sim,7,2026-05-21,2026-05-28,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260068,2026-05-10,Alcampo Retail,Retalho Alimentar,Espanha,Sevilha,Andaluzia,Armazém Madrid,Porto Tech Parts,NACEX,Expresso,P009,Mini-frigorífico hotelaria,Eletrodomésticos,150,0,31500.00,93.44,0.264,621,Média,3,5,0.08,0.07,0.80,Sim,Sim,6,2026-05-13,2026-05-19,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260069,2026-05-22,Hotelaria Algarve,Hotelaria,Portugal,Albufeira,Algarve,Armazém Lisboa,Norte Industrial,GLS Iberia,Expresso,P004,Luvas de segurança,EPI,225,234,1575.00,145.34,0.230,1135,Alta,6,6,0.06,0.06,0.32,Nao,Nao,0,2026-05-28,2026-05-27,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260070,2026-03-17,Alcampo Retail,Retalho Alimentar,Espanha,Sevilha,Andaluzia,Armazém Porto,Lisboa Components,SEUR,Paletizado,P010,Dispositivo POS móvel,Eletrónica,20,61,5200.00,116.73,0.184,987,Baixa,7,9,0.07,0.30,0.54,Sim,Nao,0,2026-03-24,2026-03-24,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260071,2026-04-16,Auchan Retail Portugal,Retalho Alimentar,Portugal,Setúbal,Lisboa e Vale do Tejo,Armazém Barcelona,,NACEX,Rodoviário,P001,Tablet robusto para logística,Eletrónica,183,210,76860.00,24.29,0.237,61,Média,8,13,0.05,0.06,0.52,Sim,Nao,0,2026-04-24,2026-04-24,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260072,2026-03-10,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Lisboa,Atlântico Distribuição,NACEX,Expresso,P002,Scanner código de barras,Eletrónica,59,98,11210.00,66.98,0.226,419,Média,7,8,0.05,0.08,0.69,Sim,Nao,0,2026-03-17,2026-03-17,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260073,2026-05-17,Hospital Quirón Madrid,Saúde,Espanha,Madrid,Madrid,Armazém Barcelona,Porto Tech Parts,CTT Expresso,Expresso,P004,Luvas de segurança,EPI,130,4,910.00,86.83,0.315,643,Média,6,9,0.06,0.07,0.63,Sim,Sim,1,2026-05-23,2026-05-24,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260074,2026-04-13,Pingo Doce Distribuição,Retalho Alimentar,Portugal,Porto,Norte,,Lisboa Components,GLS Iberia,Rodoviário,P008,Caixas de acondicionamento,Material de Armazém,187,257,841.50,133.86,0.287,882,Alta,8,13,0.04,0.11,0.70,Sim,Sim,5,2026-04-21,2026-04-26,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260075,2026-03-25,Pingo Doce Distribuição,Retalho Alimentar,Portugal,Porto,Norte,Armazém Lisboa,Porto Tech Parts,DHL Iberia,Rodoviário,P008,Caixas de acondicionamento,Material de Armazém,23,2,103.50,94.67,0.253,723,Média,4,8,0.12,0.09,0.74,Sim,Sim,3,2026-03-29,2026-04-01,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260076,2026-02-06,Makro España,Grossista,Espanha,Bilbao,País Basco,Armazém Madrid,Norte Industrial,,Rodoviário,P010,Dispositivo POS móvel,Eletrónica,25,103,6500.00,130.82,0.168,1092,Média,7,6,0.11,0.05,0.35,Nao,Sim,7,2026-02-13,2026-02-20,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260077,2026-04-26,Distribución Galicia,Grossista,Espanha,Vigo,Galiza,Armazém Barcelona,Atlântico Distribuição,Correos Express,Rodoviário,P007,Peça mecânica industrial,Peças Industriais,163,253,26080.00,136.43,0.278,689,Média,4,4,0.06,0.38,0.39,Nao,Nao,0,2026-04-30,2026-04-30,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260078,2026-02-16,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Porto,Madrid Goods Network,DHL Iberia,Expresso,P006,Sensor IoT de temperatura,Eletrónica,97,195,8245.00,138.43,0.243,967,Alta,9,8,0.26,0.12,0.38,Nao,Nao,0,2026-02-25,2026-02-25,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260079,2026-03-22,Carrefour España,Retalho Alimentar,Espanha,Barcelona,Catalunha,Armazém Porto,Catalunya Freight,DHL Iberia,Paletizado,P004,Luvas de segurança,EPI,148,293,1036.00,130.69,0.208,1066,Média,5,6,0.31,0.04,0.12,Nao,Nao,0,2026-03-27,2026-03-26,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260080,2026-05-14,Makro Portugal,Grossista,Portugal,Faro,Algarve,Armazém Madrid,Porto Tech Parts,GLS Iberia,Paletizado,P010,Dispositivo POS móvel,Eletrónica,199,326,51740.00,260.55,0.042,440,Média,2,1,0.05,0.11,0.20,Nao,Nao,0,2026-05-16,2026-05-16,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260081,2026-05-14,Alcampo Retail,Retalho Alimentar,Espanha,Sevilha,Andaluzia,Armazém Madrid,Atlântico Distribuição,SEUR,Expresso,P007,Peça mecânica industrial,Peças Industriais,164,177,26240.00,148.64,0.300,1120,Alta,7,6,0.11,0.30,0.24,Nao,Nao,0,2026-05-21,2026-05-21,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260082,2026-05-05,MediaMarkt Iberia,Retalho Especializado,Espanha,Valência,Comunidade Valenciana,Armazém Lisboa,Porto Tech Parts,DHL Iberia,Rodoviário,P008,Caixas de acondicionamento,Material de Armazém,203,94,913.50,62.94,0.261,242,Média,8,7,0.05,0.04,0.48,Nao,Nao,0,2026-05-13,2026-05-13,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260083,2026-04-18,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Porto,Porto Tech Parts,GLS Iberia,Paletizado,P009,Mini-frigorífico hotelaria,Eletrodomésticos,195,277,40950.00,289.10,0.043,776,Baixa,3,4,0.03,0.03,0.06,Nao,Nao,0,2026-04-21,2026-04-20,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260084,2026-03-30,Hospital Luz Lisboa,Saúde,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Barcelona,Madrid Goods Network,GLS Iberia,Expresso,P003,Etiquetas térmicas,Material de Armazém,115,194,2070.00,143.64,0.276,1102,Média,5,9,0.22,0.05,0.84,Sim,Sim,5,2026-04-04,2026-04-09,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260085,2026-03-20,Pingo Doce Distribuição,Retalho Alimentar,Portugal,Porto,Norte,Armazém Madrid,Porto Tech Parts,DHL Iberia,Expresso,P004,Luvas de segurança,EPI,98,25,686.00,55.36,0.213,355,Média,3,4,0.08,0.04,0.33,Nao,Nao,0,2026-03-23,2026-03-23,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260086,2026-04-05,Hotelaria Algarve,Hotelaria,Portugal,Albufeira,Algarve,Armazém Lisboa,Madrid Goods Network,GLS Iberia,Expresso,P002,Scanner código de barras,Eletrónica,21,115,3990.00,132.68,0.161,932,Média,8,9,0.29,0.12,0.69,Sim,Nao,0,2026-04-13,2026-04-13,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260087,2026-03-10,El Corte Inglés Madrid,Retalho Especializado,Espanha,Madrid,Madrid,Armazém Barcelona,Atlântico Distribuição,DHL Iberia,Paletizado,P010,Dispositivo POS móvel,Eletrónica,215,363,55900.00,288.34,0.040,427,Alta,8,8,0.12,0.12,0.25,Nao,Nao,0,2026-03-18,2026-03-17,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260088,2026-04-21,Worten Business,Retalho Especializado,Portugal,Braga,Norte,Armazém Porto,Madrid Goods Network,NACEX,Rodoviário,P005,Kit primeiros socorros,Saúde e Bem-Estar,204,213,7140.00,101.03,0.312,758,Média,6,6,0.36,0.13,0.26,Nao,Nao,0,2026-04-27,2026-04-27,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260089,2026-03-24,El Corte Inglés Madrid,Retalho Especializado,Espanha,Madrid,Madrid,Armazém Madrid,Andalucía Supply Hub,CTT Expresso,Paletizado,P002,Scanner código de barras,Eletrónica,123,276,23370.00,54.63,0.187,239,Média,7,11,0.29,0.06,0.77,Sim,Sim,7,2026-03-31,2026-04-07,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260090,2026-03-12,Carrefour España,Retalho Alimentar,Espanha,Barcelona,Catalunha,Armazém Madrid,Lisboa Components,MRW,Paletizado,P003,Etiquetas térmicas,Material de Armazém,21,63,378.00,117.19,0.181,742,Baixa,4,8,0.05,0.27,0.71,Sim,Nao,0,2026-03-16,2026-03-16,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260091,2026-02-06,Makro España,Grossista,Espanha,Bilbao,País Basco,Armazém Lisboa,,DHL Iberia,Rodoviário,P010,Dispositivo POS móvel,Eletrónica,135,150,35100.00,135.71,0.236,1066,Média,6,5,0.08,0.04,0.32,Nao,Nao,0,2026-02-12,2026-02-11,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260092,2026-04-16,Hospital Quirón Madrid,Saúde,Espanha,Madrid,Madrid,Armazém Madrid,Norte Industrial,NACEX,Rodoviário,P010,Dispositivo POS móvel,Eletrónica,115,69,29900.00,102.97,0.319,677,Média,2,5,0.13,0.11,0.75,Sim,Sim,1,2026-04-18,2026-04-19,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260093,2026-05-12,Worten Business,Retalho Especializado,Portugal,Braga,Norte,Armazém Lisboa,Valencia Source,DHL Iberia,Rodoviário,P003,Etiquetas térmicas,Material de Armazém,183,264,3294.00,141.72,0.195,1219,Alta,8,11,0.25,0.07,0.53,Sim,Nao,0,2026-05-20,2026-05-19,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260094,2026-05-04,Hospital Quirón Madrid,Saúde,Espanha,Madrid,Madrid,Armazém Barcelona,Atlântico Distribuição,NACEX,Paletizado,P009,Mini-frigorífico hotelaria,Eletrodomésticos,114,214,23940.00,52.50,0.194,199,Média,7,6,0.03,0.09,0.26,Nao,Nao,0,2026-05-11,2026-05-11,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260095,2026-02-07,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Barcelona,Lisboa Components,Correos Express,Paletizado,P010,Dispositivo POS móvel,Eletrónica,85,184,22100.00,160.24,0.256,1003,Média,4,8,0.09,0.32,0.88,Sim,Sim,4,2026-02-11,2026-02-15,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260096,2026-04-28,Distribución Galicia,Grossista,Espanha,Vigo,Galiza,Armazém Madrid,Norte Industrial,DHL Iberia,Rodoviário,P004,Luvas de segurança,EPI,154,138,1078.00,94.69,0.284,720,Média,2,1,0.11,0.08,0.26,Nao,Nao,0,2026-04-30,2026-04-30,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260097,2026-04-29,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Madrid,Norte Industrial,,Rodoviário,P008,Caixas de acondicionamento,Material de Armazém,182,307,819.00,148.45,0.301,1031,Alta,5,5,0.07,0.06,0.27,Nao,Nao,0,2026-05-04,2026-05-03,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260098,2026-05-15,FNAC Portugal,Retalho Especializado,Portugal,Coimbra,Centro,Armazém Barcelona,Norte Industrial,GLS Iberia,Expresso,P005,Kit primeiros socorros,Saúde e Bem-Estar,112,214,3920.00,43.64,0.216,158,Alta,5,5,0.06,0.10,0.28,Nao,Nao,0,2026-05-20,2026-05-20,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260099,2026-02-16,Makro Portugal,Grossista,Portugal,Faro,Algarve,Armazém Porto,Catalunya Freight,GLS Iberia,Cross-docking,P009,Mini-frigorífico hotelaria,Eletrodomésticos,101,199,21210.00,158.08,0.201,1271,Média,7,6,0.36,0.06,0.40,Nao,Sim,7,2026-02-23,2026-03-02,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260100,2026-02-26,FNAC Portugal,Retalho Especializado,Portugal,Coimbra,Centro,Armazém Madrid,Lisboa Components,NACEX,Paletizado,P005,Kit primeiros socorros,Saúde e Bem-Estar,75,166,2625.00,281.18,0.056,724,Média,5,6,0.08,0.05,0.39,Nao,Nao,0,2026-03-03,2026-03-03,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260101,2026-04-14,Pingo Doce Distribuição,Retalho Alimentar,Portugal,Porto,Norte,Armazém Porto,Norte Industrial,MRW,Rodoviário,P009,Mini-frigorífico hotelaria,Eletrodomésticos,82,140,17220.00,85.29,0.227,1274,Alta,6,9,0.08,0.31,0.73,Sim,Sim,3,2026-04-20,2026-04-23,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260102,2026-05-14,MediaMarkt Iberia,Retalho Especializado,Espanha,Valência,Comunidade Valenciana,Armazém Madrid,Porto Tech Parts,GLS Iberia,Paletizado,P003,Etiquetas térmicas,Material de Armazém,98,162,1764.00,353.47,0.025,997,Média,7,7,0.04,0.11,0.33,Nao,Nao,0,2026-05-21,2026-05-21,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260103,2026-04-14,Hospital Quirón Madrid,Saúde,Espanha,Madrid,Madrid,Armazém Madrid,Lisboa Components,CTT Expresso,Paletizado,P003,Etiquetas térmicas,Material de Armazém,161,149,2898.00,149.31,0.198,1081,Média,2,7,0.03,0.10,0.89,Sim,Sim,6,2026-04-16,2026-04-22,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260104,2026-03-31,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Lisboa,Lisboa Components,GLS Iberia,Expresso,P008,Caixas de acondicionamento,Material de Armazém,42,16,189.00,112.66,0.150,871,Baixa,5,6,0.13,0.12,0.51,Sim,Nao,0,2026-04-05,2026-04-05,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260105,2026-05-15,MediaMarkt Iberia,Retalho Especializado,Espanha,Valência,Comunidade Valenciana,Armazém Madrid,Lisboa Components,NACEX,Expresso,P005,Kit primeiros socorros,Saúde e Bem-Estar,46,63,1610.00,159.29,0.278,1199,Baixa,7,7,0.09,0.10,0.30,Nao,Nao,0,2026-05-22,2026-05-21,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260106,2026-02-01,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Barcelona,Norte Industrial,,Paletizado,P003,Etiquetas térmicas,Material de Armazém,223,283,4014.00,44.00,0.291,185,Média,6,8,0.13,0.08,0.74,Sim,Sim,6,2026-02-07,2026-02-13,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260107,2026-03-02,El Corte Inglés Madrid,Retalho Especializado,Espanha,Madrid,Madrid,Armazém Barcelona,Porto Tech Parts,NACEX,Rodoviário,P003,Etiquetas térmicas,Material de Armazém,41,193,738.00,151.60,0.234,1220,Média,6,7,0.03,0.12,0.17,Nao,Nao,0,2026-03-08,2026-03-07,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260108,2026-02-06,El Corte Inglés Madrid,Retalho Especializado,Espanha,Madrid,Madrid,Armazém Barcelona,Porto Tech Parts,Correos Express,Rodoviário,P004,Luvas de segurança,EPI,112,270,784.00,41.52,0.234,706,Alta,6,6,0.07,0.28,0.44,Nao,Nao,0,2026-02-12,2026-02-12,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260109,2026-04-03,Alcampo Retail,Retalho Alimentar,Espanha,Sevilha,Andaluzia,Armazém Porto,Porto Tech Parts,SEUR,Paletizado,P008,Caixas de acondicionamento,Material de Armazém,54,175,243.00,58.13,0.318,780,Alta,7,7,0.11,0.30,0.06,Nao,Nao,0,2026-04-10,2026-04-09,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260110,2026-02-04,Distribución Galicia,Grossista,Espanha,Vigo,Galiza,Armazém Barcelona,Porto Tech Parts,GLS Iberia,Paletizado,P004,Luvas de segurança,EPI,223,170,1561.00,93.59,0.252,754,Média,8,12,0.05,0.04,0.66,Sim,Sim,5,2026-02-12,2026-02-17,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260111,2026-05-01,Alcampo Retail,Retalho Alimentar,Espanha,Sevilha,Andaluzia,Armazém Barcelona,Norte Industrial,GLS Iberia,Expresso,P006,Sensor IoT de temperatura,Eletrónica,70,36,5950.00,140.89,0.318,1179,Crítica,5,7,0.08,0.12,0.88,Sim,Sim,7,2026-05-06,2026-05-13,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260112,2026-02-02,MediaMarkt Iberia,Retalho Especializado,Espanha,Valência,Comunidade Valenciana,Armazém Porto,Porto Tech Parts,,Rodoviário,P009,Mini-frigorífico hotelaria,Eletrodomésticos,79,97,16590.00,131.20,0.258,1117,Média,6,6,0.07,0.06,0.17,Nao,Nao,0,2026-02-08,2026-02-08,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260113,2026-02-14,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Porto,Atlântico Distribuição,CTT Expresso,Paletizado,P006,Sensor IoT de temperatura,Eletrónica,195,287,16575.00,93.92,0.287,533,Alta,3,2,0.07,0.05,0.20,Nao,Nao,0,2026-02-17,2026-02-17,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260114,2026-02-10,Hospital Quirón Madrid,Saúde,Espanha,Madrid,Madrid,Armazém Madrid,Madrid Goods Network,GLS Iberia,Expresso,P010,Dispositivo POS móvel,Eletrónica,67,203,17420.00,38.04,0.188,161,Baixa,8,7,0.35,0.06,0.33,Nao,Sim,7,2026-02-18,2026-02-25,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260115,2026-03-14,Hospital Luz Lisboa,Saúde,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Madrid,Norte Industrial,MRW,Rodoviário,P009,Mini-frigorífico hotelaria,Eletrodomésticos,47,104,9870.00,78.51,0.262,1317,Média,4,3,0.10,0.26,0.34,Nao,Sim,3,2026-03-18,2026-03-21,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260116,2026-02-27,Distribución Galicia,Grossista,Espanha,Vigo,Galiza,,Norte Industrial,CTT Expresso,Expresso,P003,Etiquetas térmicas,Material de Armazém,107,282,1926.00,77.13,0.222,412,Média,5,5,0.04,0.05,0.13,Nao,Nao,0,2026-03-04,2026-03-03,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
SCM20260117,2026-05-11,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Porto,Lisboa Components,CTT Expresso,Rodoviário,P002,Scanner código de barras,Eletrónica,186,144,35340.00,138.87,0.159,1177,Alta,5,5,0.06,0.05,0.47,Nao,Nao,0,2026-05-16,2026-05-15,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260118,2026-04-22,MediaMarkt Iberia,Retalho Especializado,Espanha,Valência,Comunidade Valenciana,Armazém Lisboa,Atlântico Distribuição,Correos Express,Rodoviário,P009,Mini-frigorífico hotelaria,Eletrodomésticos,118,237,24780.00,111.55,0.203,985,Média,6,6,0.11,0.27,0.34,Nao,Sim,1,2026-04-28,2026-04-29,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260119,2026-04-20,Auchan Retail Portugal,Retalho Alimentar,Portugal,Setúbal,Lisboa e Vale do Tejo,Armazém Madrid,Porto Tech Parts,Correos Express,Rodoviário,P003,Etiquetas térmicas,Material de Armazém,117,164,2106.00,75.71,0.152,773,Média,5,5,0.08,0.23,0.33,Nao,Nao,0,2026-04-25,2026-04-24,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260120,2026-04-02,Pingo Doce Distribuição,Retalho Alimentar,Portugal,Porto,Norte,Armazém Madrid,Lisboa Components,DHL Iberia,Paletizado,P009,Mini-frigorífico hotelaria,Eletrodomésticos,162,195,34020.00,347.94,0.049,1066,Baixa,3,3,0.07,0.06,0.09,Nao,Nao,0,2026-04-05,2026-04-04,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260121,2026-03-24,Mercadona Empresas,Retalho Alimentar,Espanha,Madrid,Madrid,Armazém Lisboa,Valencia Source,NACEX,Expresso,P001,Tablet robusto para logística,Eletrónica,68,233,28560.00,48.68,0.225,302,Média,5,7,0.28,0.10,0.70,Sim,Sim,4,2026-03-29,2026-04-02,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260122,2026-05-21,Makro Portugal,Grossista,Portugal,Faro,Algarve,Armazém Madrid,Lisboa Components,DHL Iberia,Rodoviário,P009,Mini-frigorífico hotelaria,Eletrodomésticos,182,251,38220.00,152.18,0.161,1266,Média,7,6,0.10,0.03,0.32,Nao,Nao,0,2026-05-28,2026-05-28,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260123,2026-03-04,El Corte Inglés Madrid,Retalho Especializado,Espanha,Madrid,Madrid,Armazém Porto,Porto Tech Parts,NACEX,Rodoviário,P001,Tablet robusto para logística,Eletrónica,216,87,90720.00,85.65,0.218,630,Alta,6,9,0.04,0.09,0.87,Sim,Sim,1,2026-03-10,2026-03-11,Sim,Não,Stock insuficiente,"Repor stock, transferir de outro armazém ou priorizar pedidos críticos"
SCM20260124,2026-02-10,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Lisboa,Norte Industrial,NACEX,Rodoviário,P006,Sensor IoT de temperatura,Eletrónica,61,170,5185.00,86.76,0.174,479,Alta,8,8,0.13,0.10,0.39,Nao,Sim,1,2026-02-18,2026-02-19,Não,Não,Sem alerta crítico,Monitorizar normalmente
SCM20260125,2026-04-11,Makro Portugal,Grossista,Portugal,Faro,Algarve,Armazém Porto,Lisboa Components,SEUR,Cross-docking,P007,Peça mecânica industrial,Peças Industriais,64,238,10240.00,41.83,0.270,757,Média,5,10,0.06,0.26,0.88,Sim,Sim,1,2026-04-16,2026-04-17,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260126,2026-02-11,Makro España,Grossista,Espanha,Bilbao,País Basco,Armazém Porto,Norte Industrial,NACEX,Expresso,P006,Sensor IoT de temperatura,Eletrónica,113,208,9605.00,347.31,0.068,984,Baixa,5,8,0.04,0.11,0.55,Sim,Nao,0,2026-02-16,2026-02-16,Não,Não,Margem pressionada,"Rever preço, consolidar envios, alterar armazém de origem ou modo de transporte"
SCM20260127,2026-02-01,Worten Business,Retalho Especializado,Portugal,Braga,Norte,Armazém Lisboa,Porto Tech Parts,SEUR,Paletizado,P008,Caixas de acondicionamento,Material de Armazém,147,236,661.50,143.42,0.170,1300,Média,6,7,0.14,0.25,0.19,Nao,Nao,0,2026-02-07,2026-02-07,Não,Não,Transportadora com risco,"Contactar transportadora, reencaminhar pedido ou usar transporte expresso"
SCM20260128,2026-05-07,Worten Business,Retalho Especializado,Portugal,Braga,Norte,Armazém Porto,Andalucía Supply Hub,NACEX,Rodoviário,P010,Dispositivo POS móvel,Eletrónica,148,284,38480.00,126.33,0.286,887,Alta,7,8,0.30,0.08,0.86,Sim,Sim,6,2026-05-14,2026-05-20,Não,Não,Fornecedor instável,"Validar fornecedor alternativo, renegociar SLA ou aumentar stock de segurança"
SCM20260129,2026-03-26,Continente Empresas,Retalho Alimentar,Portugal,Lisboa,Lisboa e Vale do Tejo,Armazém Porto,Lisboa Components,DHL Iberia,Cross-docking,P003,Etiquetas térmicas,Material de Armazém,222,267,3996.00,87.79,0.304,534,Alta,3,6,0.12,0.12,0.57,Sim,Nao,0,2026-03-29,2026-03-28,Não,Sim,Dados incompletos,Corrigir dados antes da decisão e tornar campos obrigatórios no sistema
